mot,ACTEURS,OBJETS,LIEUX,ACTIONS
abandonner,,,,abandonner
abandonné,,,,abandonné
abandons,,,,abandons
enlevé,,,,enlevé
enlèvement,,enlèvement,,
enlèvements,,,,
Abhor,Abhor,,,
abhorré,,,,abhorré
odieuse,,,,
Abhors,,,,
Capacités,,,,
Capacité,,,,
à bord,,,,
absenté,,,,absenté
absents,,,,
absolve,absolve,,,
absolue,,,,
absolus,,,,
l'absolution,,,,
absorbé,,,,absorbé
mauvais traitements,,,,
abusés,,,,abusés
abus,,abus,,
abusives,,,,
Accepter,,,,Accepter
accepté,,,,accepté
accepter,,,,accepter
accepte,,,,accepte
accident,,accident,,
accidentelle,,,,
accidentellement,,,,
accidents,,,,
accomplir,,,,accomplir
accompli,,,,accompli
accompli,,,,accompli
Inculpation,,,,
accusations,,,,
accuser,,,,accuser
accusés,,,,accusés
accusés,,,,accusés
accusant,,,,accusant
douleur,,douleur,,
réalisables,,,,
douleur,,douleur,,
acquittement,,,,
acquittement,,,,
acquitté,,,,acquitté
Acquiescement,Acquiescement,,,
acrimonieux,,,,
actif,,,,
adéquat,,,,
admirez,,,,admirez
admiré,,,,admiré
admire,,,,admire
admirant,,,,admirant
admettre,,,,admettre
admet,,,,admet
admis,,,,admis
avertissement,,avertissement,,
avertis,,,,avertis
adopté,,,,adopté
adopte,,,,adopte
adorable,,,,
Adorez,,,,
adoré,,,,adoré
les adorateurs,,,,
avancé,,,,
avantage,,avantage,,
avantages,,,,
aventure,,aventure,,
aventures,,,,
aventureux,,,,
affectés,,,,affectés
affection,,affection,,
affectueux,,,,
affligé,,,,affligé
Affronté,,,,
peur,,peur,,
Aggravation,,,,
aggravé,,,,aggravé
Aggravations,,,,
aggravant,,,,
Agression,,,,
agressions,,,,
agressif,,,,
C'est vrai.,,,,C'est vrai.
Agonie,Agonie,,,
agonise,,,,agonise
agonisé,,,,agonisé
agonise,,,,agonise
agonisant,,,,agonisant
agoniser,,,,agoniser
agonisé,,,,agonisé
agonise,,,,agonise
agonisant,,,,agonisant
d'accord,,d'accord,,
agréable,,,,
d ' accord,,,,
accord,,accord,,
d'accord,,d'accord,,
alarme,,alarme,,
Alarmée,Alarmée,,,
alarmiste,,,,
alarmistes,,,,
Hélas,,,,
Alerte,,,,
aliénation,,aliénation,,
vivant,,,,vivant
allergique,,,,
permettre,,,,permettre
seul,,,,
étourdissements,,,,
émerveillé,,,,émerveillé
étourdissements,,,,
incroyable,,,,
ambitieux,,,,
ambivalent,,,,
Amuse-toi.,Amuse-toi.,,,
amusés,,,,amusés
Amusement,,,,
Amusements,,,,
colère,,colère,,
colères,,,,
en colère,,,,
angoisse,,angoisse,,
angoisse,,angoisse,,
animosité,,animosité,,
ennuyeuse,,,,
l'ennui,,,,
ennuyé,,,,ennuyé
ennuyant,,,,
Les ennuis,,,,
antagonistes,,,,
"contre la torture et autres peines ou traitements cruels, inhumains ou dégradants",,,,
Prévoir,,,,Prévoir
anxiété,,anxiété,,
anxieuse,,,,
apathique,,,,
apathie,,apathie,,
C'est de l'apesanteur.,,,,
apocalyptique,,,,
s'il vous plaît,,,,s'il vous plaît
excusés,,,,excusés
s'excuse,,,,s'excuse
s'excuser,,,,s'excuser
Excuse-moi.,Excuse-moi.,,,
Excusés,,,,
s'excuse,,,,s'excuse
s'excuser,,,,s'excuser
excuses,,,,
consterné,,,,consterné
C'est épouvantable.,,,,
un peu d'apaisement,,,,
apaisé,,,,
s'il vous plaît,,,,s'il vous plaît
s'apaiser,,,,s'apaiser
applaudir,,,,applaudir
applaudis,,,,applaudis
applaudissant,,,,applaudissant
applaudit,,,,applaudit
applaudissements,,,,
Merci d'avoir apprécié,,,,Merci d'avoir apprécié
apprécié,,,,apprécié
apprécie,,,,apprécie
reconnaissant,,,,reconnaissant
Évaluation,,,,
appréhensif,,,,
Agrément,,,,
approuvé,,,,approuvé
approuve,,,,approuve
ardemment,,,,
arrestation,,arrestation,,
arrêté,,,,
arrestations,,,,
arrogant,,,,
shame,,,,
honteux,,,,
cul,,,,
assassinat,,assassinat,,
assassinats,,,,
actif,,,,
Actifs,,,,
"C'est quoi, ce bordel ?",,,,"C'est quoi, ce bordel ?"
trou du cul,,,,
étonnés,,,,étonnés
stupéfiant,,,,
stupéfait,,,,stupéfait
stupéfiant,,,,
Stupéfiant,,,,Stupéfiant
des astuces,,,,
attaque,,attaque,,
attaqué,,,,attaqué
attaquer,,,,attaquer
attaques,,,,
attirer,,,,attirer
attirés,,,,attirés
Attirer,,,,Attirer
attraction,,attraction,,
attractions,,,,
attire,,,,attire
Audacieux,,,,
Autorité,,,,
Avertissement,Avertissement,,,
averti,,,,averti
avertis,,,,avertis
avid,,,,
éviter,,,,éviter
évité,,,,évité
évite,,,,évite
attendre,,,,attendre
attendu,,,,attendu
attend,,,,attend
pour l ' octroi de l ' indemnité,,,,
décerné,,,,décerné
Prix,,,,
génial,,,,
C'est affreux.,,,,
embarrassant,,,,embarrassant
hache,,hache,,
Axé,Axé,,,
soutenu,,,,soutenu
Soutien,,,,
dos,,dos,,
Mauvais,,,,
badasse,,,,
- C'est grave.,,,,
Mise en liberté sous caution,,,,
bambouzle,,,,
en bambouzled,,,,
bambous-zilles,bambous-zilles,,,
interdiction,,interdiction,,
bannir,,,,bannir
failli,,,,failli
banquier,,banquier,,
interdite,,,,interdite
Marché conclu,,,,Marché conclu
barrière,,barrière,,
Bâtard,Bâtard,,,
Salopes,Salopes,,,
bataille,,bataille,,
batailles,,,,
battus,,,,battus
béatifique,,,,
coups et blessures,,,,
beautés,,,,
belle,,,,
magnifiquement,,,,
embellir,,,,embellir
petit,,,,
diminués,,,,diminués
bien-aimés,,,,
prestation,,prestation,,
avantages sociaux,,,,
bénéficié d'une aide,,,,bénéficié d'une aide
en faveur de l'Union européenne,en faveur de l'Union européenne,,,
en cas d'apparition d'une maladie,,,,
endeuillés,,,,
boreaux,,,,
endeuillement,,,,
le meilleur,,,,
trahir,,,,
trahison,,trahison,,
trahi,,,,trahi
trahir,,,,
trahit,,,,trahit
mieux,,,,
partialité,,,,
biaisé,,,,
gros,,,,
Salope,Salope,,,
Salopes,Salopes,,,
Amère,,,,
Amèrement,Amèrement,,,
bizarre,,,,
bla bla,,,,
blâme,blâme,,,
blâmé,,,,blâmé
blâmes,,,,
blâme,blâme,,,
bénir,,,,bénir
bénit,,,,bénit
bénédiction,,bénédiction,,
aveugle,,,,
béatitude,,béatitude,,
Bénédiction,,,,
d'une teneur en poids de matières grasses égale ou supérieure à 50 % en poids,,,,
bloc,,bloc,,
blockbuster,,,,
bloqué,,,,bloqué
blocage,,blocage,,
blocs,,,,
sanglant,,,,sanglant
flou,,flou,,
orgueilleux,,,,
gras,,,,
hardiment,,,,
bombe,,bombe,,
Coup de pouce,,,,
boosté,,,,boosté
stimuler,,,,stimuler
Coups de pouce,,,,
l'ennui,,,,
s'ennuyer,,,,s'ennuyer
ennuyant,,,,
ennuie-toi.,,,,ennuie-toi.
ennuyé,,,,ennuyé
ennuis,,,,
C'est gênant.,,,,C'est gênant.
boycottage,,boycottage,,
boycotté,,,,boycotté
boycottage,,boycottage,,
boycotts,,,,
lavage de cerveau,,,,
courageux,,,,
percée,,percée,,
à couper le souffle,,,,à couper le souffle
pour pots-de-vin,,,,
lumineux,,,,
Les plus brillants,,,,
luminosité,,luminosité,,
brillant,,,,
vif,,,,
cassé,,,,
cassé,,,,
couvées,,,,
outrage à l'ordre public,,,,
Des conneries,,,,
outrage à la pudeur,,,,
brimades,,,,
pulvérulent,,,,
flottant,,,,
charge,,charge,,
dont la charge est,,,,
la charge de travail,,,,
charges,,,,
calme,,,,
calmé,,,,calmé
calmant,,,,calmant
calmes,,,,
Je ne supporte pas.,,,,Je ne supporte pas.
annuler,,,,annuler
annulé,,,,annulé
annuler,,,,annuler
annule,,,,annule
cancer,,cancer,,
capable,,,,
captivé,,,,captivé
soins de santé,,,,
insouciants,,,,
Faites attention.,,,,
avec précaution,,,,
négligents,,,,
soins,,,,
Encaissement,,,,
Victimes,,,,
catastrophe,,catastrophe,,
catastrophique,,,,
prudent,,,,
fêter,,,,fêter
fêté,,,,fêté
Célébrations,,,,
Célébration,,,,
Censeur,,,,
censuré,,,,censuré
Censeurs,Censeurs,,,
certains,,,,
chagrine,,,,
chagrinés,,,,
défi à relever,,,,défi à relever
hasard,,hasard,,
probabilités,,,,
chaos,,chaos,,
chaotique,,,,
facturés,,,,facturés
Frais,,,,
charme,,charme,,
charmant,,,,
Sans charme,,,,
chasteté,,chasteté,,
châtié,,,,châtié
châtes,,,,
châtiant,,,,châtiant
triche,,,,
triché,,,,
tricheur,,tricheur,,
tricheurs,,,,
tricheurs,,,,
"Salut, mon Dieu.","Salut, mon Dieu.",,,
acclamé,,,,acclamé
joyeux,,,,
les applaudissements,,,,
impitoyable,,,,
joies,,,,
Heureux.,,,,
chérie,,,,
chéris,,,,
chéries,,,,
chérissant,,,,chérissant
chic,,,,
enfantins,,,,
refroidissement,,refroidissement,,
étouffement,,,,
étouffé,,,,étouffé
étourdissements,,,,
étouffement,,,,
clarifie,,,,clarifie
clarté,,clarté,,
choc,,choc,,
classe,,classe,,
Nettoyer,,,,Nettoyer
Nettoyeur,,,,
C'est clair.,,,,
Éliminé,,,,Éliminé
clairement,,,,
C'est bon.,,,,
Intelligent,,,,
nuageux,,,,
Sans indice,,,,
Coq,,,,
Enfoiré de coqs,,,,
Enculés de bites,,,,
C'est cocu.,,,,
sous la contrainte,,,,
effondrement,,effondrement,,
effondré,,,,effondré
effondrements,,,,
s'effondrer,,,,s'effondrer
collision,,collision,,
collisions,,,,
collisions,,,,
collision,,collision,,
collisions,,,,
de collusion,,,,
Lutte contre la traite des êtres humains,,,,
les combats,,,,
comédie,,comédie,,
confort,,confort,,
confortable,,,,
réconfortant,,,,
conforts,,,,
féliciter,,,,féliciter
félicités,,,,félicités
commit,,,,commit
engagement,,engagement,,
commits,,,,commits
engagés,,,,engagés
s'engager,,,,s'engager
compassion,,compassion,,
contrainte,,contrainte,,
compétent,,,,
concurrence,,concurrence,,
complaisant,,,,complaisant
se plaindre,,,,se plaindre
plainte,,plainte,,
se plaint,,,,se plaint
globale,,,,
conciliant,,,,conciliant
conciliées,,,,conciliées
conciliants,,,,
conciliant,,,,conciliant
condamner,,,,condamner
Condamnation,,,,
condamné,,,,condamné
condamne,,,,condamne
confiance,,confiance,,
confiance en soi,,,,
conflit,,conflit,,
conflit,,conflit,,
conflit,,conflit,,
conflits armés,,,,
confusion,,confusion,,
confusion,,confusion,,
confusion,,confusion,,
félicitations,,félicitations,,
Félicitations,,,,
félicitations,,félicitations,,
Félicitations,,,,
consentement,,consentement,,
consentements,,,,
consolable,,,,
conspiration,,conspiration,,
contrainte,,contrainte,,
contagion,,contagion,,
contagions,,,,
contagieux,,,,
outrage,,outrage,,
outrageux,,,,
mépriseusement,,,,
soutenir,,,,soutenir
prétendant,,,,prétendant
concurrence,,concurrence,,
litigieux,,,,
contestable,,,,
controverse,,controverse,,
controverséement,,,,
convaincre,,,,convaincre
Convaincus,Convaincus,,,
convainc,,,,convainc
de convivialité,,,,
frais,,frais,,
Des trucs cool,,,,
coincés,,,,coincés
cadavre,,cadavre,,
coûteux,,,,
courage,,courage,,
courageux,,,,
courtois,,,,
courtoisie,,,,
Couverture,,,,
lâche,,,,lâche
lâcheté,lâcheté,,,
Cozyness,Cozyness,,,
crampe,,crampe,,
C'est de la merde.,,,,
accident,,accident,,
C'est plus fou.,,,,
C'est le plus fou.,,,,
C'est fou.,,,,
créatif,,,,
crestfallen,crestfallen,,,
pleuré,,,,pleuré
cris,,,,
la criminalité,,,,
Délinquants,,,,
criminels,,,,
crise,,crise,,
critique,,,,
critiques,,,,
critique,,,,
critiqués,,,,critiqués
critique,,,,
critiquer,,,,critiquer
critiques,,,,
cruel,,,,
cruauté,,cruauté,,
écrasement,,,,
broyés,,,,broyés
écrasements,,,,
concassage,,,,
pleurer,,,,pleurer
pleurant,,,,pleurant
Connasse,Connasse,,,
curieux,,,,
malédiction,,malédiction,,
Couper,,,,
mignon,,,,
coupes,,,,
Découpe,,,,
cynique,,,,
cynique,,,,
cynisme,,cynisme,,
Dommages,,,,
dommages-intérêts,,,,
C'est pas vrai.,,,,
Damnés,,,,
Nom d'un chien,,,,
danger,,danger,,
oostdevil,,,,
osé,,,,osé
les plus foncés,,,,
obscurité,,obscurité,,
impitoyable,,,,
mort,,mort,,
dans l ' impasse,,,,
assourdissement,,,,
Chère,,,,
Chère,,,,
décès,,décès,,
debonair,,,,
dette,,dette,,
tromperie,,tromperie,,
tromperie,,tromperie,,
tromper,,,,tromper
trompés,,,,trompés
tromperies,,,,
tromperie,,tromperie,,
La tromperie,,,,
décisif,,,,
dédié,,,,
vaincu,,,,vaincu
Défaut,,,,
défauts,,,,
défenseur,,défenseur,,
défenseurs des droits de l ' homme,,,,
sans défense,,,,
ajourner,,,,ajourner
Report de l ' exécution,,,,
défiant,,,,défiant
déficit,,déficit,,
Dégradation,,,,
dégradé,,,,
dégradations,,,,
déshumaniser,,,,déshumaniser
déshumanisé,,,,déshumanisé
déshumanisants,,,,
déshumanisation,,,,
Déjecter,,,,
déjecté,,,,
Déjection,,,,
Déjects,Déjects,,,
retard,,retard,,
retard,,retard,,
délice,,,,
enchanté,,,,enchanté
délices,,,,
délices,,,,
demande,,,,demande
demandé,,,,demandé
exigeant,,,,exigeant
demande,,,,demande
démonstration,,démonstration,,
démoralisée,,,,démoralisée
refusé,,,,refusé
dentier,,,,
les dénonciateurs,,,,
nie,,,,nie
dénoncer,,,,dénoncer
dénonce,,,,dénonce
nier,,,,nier
en niant,,,,en niant
dépression,,dépression,,
déprimant,,,,déprimant
dérailleur,,,,
déraillés,,,,
déraillements,,,,
Déridez-vous,,,,
dérisoires,,,,
Dérivés,,,,
Débarquement,Débarquement,,,
dérision,,dérision,,
souhaitable,,,,
désir,,désir,,
désiré,,,,
Désireux,,,,
désespoir,,,,désespoir
désespérant,,,,désespérant
des désespoirs,,,,
désespérément,,désespérément,,
désespérément,,désespérément,,
destinataires,,,,
détruire,,,,détruire
détruit,,,,détruit
détruisant,,,,détruisant
détruit,,,,détruit
destruction,,destruction,,
destructeurs,,,,
détaché,,,,
Détention,,,,
Détenus,,,,
Détention,,,,
déterminée,,,,déterminée
devastate,,,,
dévastés,,,,dévastés
dévastatrice,,,,dévastatrice
consacrée,,,,consacrée
diamant,,diamant,,
bite,,bite,,
tête de bite,,,,
mort,,mort,,
mort,,mort,,
difficile,,,,
différent,,,,
dilemme,,dilemme,,
C'est pas vrai.,,,,
- C'est pas vrai.,,,,
C'est terrible.,,,,
la saleté,,,,
plus sale,,,,
les plus sales,,,,
C'est sale.,,,,
invalidation,,,,
désavantage,,désavantage,,
défavorisé,,,,défavorisé
disparaître,,,,disparaître
disparu,,,,disparu
disparaît,,,,disparaît
décevoir,,,,décevoir
déçu,,,,déçu
décevant,,,,
déception,,déception,,
déceptions,,,,
les déceptions,,,,
catastrophe,,catastrophe,,
catastrophes naturelles,,,,
désastreux,,,,
N'est-ce pas ?,,,,
Jetez-le.,Jetez-le.,,,
rejetés,,,,rejetés
Rejets,,,,
déchets,,déchets,,
Disconsolation,,,,
disconsolation,,,,
mécontent,,,,mécontent
discorde,,,,discorde
Montant actualisé,,,,Montant actualisé
découragé,,,,découragé
discrédité,,,,discrédité
dédain,,dédain,,
la honte,,,,
déshonorés,,,,déshonorés
déguisement,,déguisement,,
déguisés,,,,déguisés
déguisements,,,,
déguisant,,,,déguisant
dégoûtant,,,,
dégoûtés,,,,dégoûtés
dégoûtant,,,,
découragé,,,,découragé
malhonnête,,,,
désillusionnés,,,,désillusionnés
succinctement,,,,
disjoints,,,,
n'aime pas,,,,n'aime pas
"lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal,",,,,"lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal, lombal,"
consterné,,,,consterné
Affections du système nerveux,,,,
désorganisé,,,,désorganisé
désorientée,,,,
dépeuplement,,,,
dépréciés,,,,dépréciés
disparates,,,,
dépeuplement,,,,
déplaisir,,,,
différend,,,,
litigieux,,,,
différends,,,,
la contestation,,,,
disqualifié,,,,disqualifié
"Le problème, c'est qu'il n'y a pas de problème.",,,,"Le problème, c'est qu'il n'y a pas de problème."
oubli,,oubli,,
non pris en considération,,,,non pris en considération
oubliant,,,,oubliant
oublis,,,,
manque de respect,,,,manque de respect
irrespectueux,,,,
Perturbation,,,,
Perturbations,,,,
perturbateur,,perturbateur,,
insatisfait,insatisfait,,,
fausse,,,,
déformé,,,,déformé
déformage,,,,
déforme,,,,
Distraire,Distraire,,,
distrait,,,,distrait
distraction,,,,
Les distractions,,,,
détresse,,détresse,,
affligé,,,,affligé
détresses,,,,
affligeant,,,,affligeant
défiance,,défiance,,
méfiant,,,,
Perturbation,,,,
perturbé,,,,perturbé
dérangeant,,,,dérangeant
dérangement,,dérangement,,
Dithering,,,,
étourdissements,,,,
les mesures d'esquive,,,,
C'est un peu d'escroquerie.,,,,
ne fonctionne pas,,,,ne fonctionne pas
doloreux,,,,
n'aime pas,,,,n'aime pas
mort,,mort,,
condamné,,,,condamné
doute,,doute,,
douteux,,,,
douteux,,,,
doute,,doute,,
doutes,,,,
Dégonflé,,,,
sac à dos,,,,
downcast,,,,
d'un cœur débordé,,,,d'un cœur débordé
à l'envers,,,,
Traîner,,,,Traîner
traînée,,,,
traînées,,,,
égouttés,,,,égouttés
Crainte,,,,
redouté,,,,redouté
C'est terrible.,,,,
redoutant,,,,redoutant
Rêve,,,,
rêves,rêves,,,
dreary,,,,
Dropy,,,,
chute,,chute,,
noyé,,,,noyé
noyés,,,,noyés
noyés,,,,noyés
ivre,,,,
douteux,,,,
d'une valeur n'excédant pas 50 % du prix départ usine du produit,,,,d'une valeur n'excédant pas 50 % du prix départ usine du produit
terne,,,,
Imbécile,Imbécile,,,
Imbécile,Imbécile,,,
dépotoir,,,,dépotoir
faisant l'objet d'un dumping,,,,faisant l'objet d'un dumping
décharges,,,,
Duppé,,,,
Dumped,,,,
dysfonctionnement,,dysfonctionnement,,
Avide,,,,
sérieux,,,,
facilité,,,,
facile,,,,
extatique,,,,
L'industrie de l'Union européenne,L'industrie de l'Union européenne,,,
"A l'heure actuelle, l'industrie de l'Union européenne a connu une forte croissance de l'industrie de l'Union européenne et de l'industrie de l'Union européenne.","A l'heure actuelle, l'industrie de l'Union européenne a connu une forte croissance de l'industrie de l'Union européenne et de l'industrie de l'Union européenne.",,,"A l'heure actuelle, l'industrie de l'Union européenne a connu une forte croissance de l'industrie de l'Union européenne et de l'industrie de l'Union européenne."
efficace,,,,
efficace,,,,
plébiscité,,,,plébiscité
l'allégeance,,,,
élégant,,,,
élégamment,,,,
embarrassant,,,,embarrassant
embarrassé,,,,embarrassé
embarrasse,,,,
embarrassant,,,,embarrassant
embarrassement,,,,
embusqués,,,,embusqués
embrasser,,,,embrasser
urgence,,urgence,,
empathique,,,,
vide,,vide,,
vide,,vide,,
enchanté,,,,enchanté
encourager,,,,encourager
encouragés,,,,encouragés
l'encouragement,,,,
encourage,,,,encourage
approuver,,,,approuver
approuvé,,,,approuvé
a) Attestation,,,,a) Attestation
approuve,,,,approuve
ennemis,,,,
ennemi,,ennemi,,
énergétique,,,,
s'engager,,,,s'engager
s'engage,,,,s'engage
engrais,,engrais,,
